NO,目的派生検索,,NTL,名声,Pt,総名声,総Pt,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,ボール,ボール,0,1,"2,910",1,"2,910",―,ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ボールK型,├ボールK型,0,1,"2,910",2,"5,820",―,ボール,ボールK型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,ボール改,│├ボール改,0,1,"3,390",3,"9,210",―,ボール,ボールK型,ボール改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7426,トロハチ,││└トロハチ,0,1,"1,068",4,"10,278",―,ボール,ボールK型,ボール改,トロハチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027,サンダーボルト仕様ボール,│├サンダーボルト仕様ボール,0,1,"3,390",3,"9,210",―,ボール,ボールK型,サンダーボルト仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4081,機雷散布ポッド装備仕様ボール,│├機雷散布ポッド装備仕様ボール,0,1,"3,390",3,"9,210",―,ボール,ボールK型,機雷散布ポッド装備仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,マ・クベ専用ボール,│├マ・クベ専用ボール,0,20,"1,800",22,"7,620",―,ボール,ボールK型,マ・クベ専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811,連邦宇宙輸送艇,│├連邦宇宙輸送艇,0,5,"6,600",7,"12,420",―,ボール,ボールK型,連邦宇宙輸送艇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,スーツキャリアー,││├スーツキャリアー,0,10,"5,100",17,"17,520",―,ボール,ボールK型,連邦宇宙輸送艇,スーツキャリアー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,コロンブス,││└コロンブス,0,50,"10,500",57,"22,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3219,ヨーツンヘイム,││　├ヨーツンヘイム,0,50,"30,900",107,"53,820",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,ヨーツンヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,フリーデン,││　├フリーデン,0,150,"60,000",207,"82,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,フリーデンII,││　│├フリーデンII,0,100,"96,000",307,"178,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,フリーデンII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,シーバルチャー艦,││　│├シーバルチャー艦,0,60,"30,000",267,"112,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,ドリテア護衛艦,││　││└ドリテア護衛艦,0,10,"30,000",277,"142,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,ドリテア,││　││　├ドリテア,0,20,"33,000",297,"175,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,ドリテア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3721,ポリペイモス,││　││　└ポリペイモス,0,40,"60,000",317,"202,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,ポリペイモス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3683,トリエステ,││　│├トリエステ,0,1,"66,000",208,"148,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,トリエステ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,フォート・セバーン,││　│├フォート・セバーン,0,1,"60,000",208,"142,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,フォート・セバーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
