No,機体名,★変形flag,ＨＰ,装甲,運動,索敵,ＥＮ,重量,直感,操縦,近,中,遠,名声,NT,SIZE,コスト,クレジット,地上,水中,宇宙,空中,種別
0,ボール,0,120,17,35,40,117,8,0,0,10,0,0,1,－,Ｓ,14,2910,-5,-5,3,-5,その他／連邦軍・ティターンズ・地球連合／機動戦士ガンダム／量産機
1,ボールK型,0,120,17,35,40,117,8,0,0,10,0,0,1,－,Ｓ,14,2910,-5,-5,3,-5,その他／連邦軍・ティターンズ・地球連合／第08MS小隊／量産機
2,ザクI,0,262,19,39,40,280,18,0,0,10,0,0,1,－,Ｍ,25,3540,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
3,ザクタンク,0,230,15,30,62,212,16,0,0,0,0,10,1,－,Ｍ,21,2760,2,-3,-5,-5,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／量産機
4,アッグ,0,256,21,60,42,283,15,0,20,30,0,0,1,－,Ｍ,27,6630,2,0,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／量産機
5,アッグガイ,0,307,26,52,48,333,19,10,20,30,0,0,1,－,Ｍ,30,9690,2,2,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／量産機
6,ジュアッグ,0,312,30,50,52,175,17,10,10,10,25,0,1,－,Ｍ,25,6010,2,2,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／量産機
7,ザク・マリンタイプ,0,308,21,56,42,252,18,0,20,0,30,0,1,－,Ｍ,24,6630,0,4,-5,-2,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)
8,グフ,0,290,30,52,42,312,18,10,30,30,0,0,1,－,Ｍ,20,8610,3,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／グフ系／量産機
9,アッガイ,0,275,22,52,42,300,19,10,30,30,15,0,1,－,Ｍ,25,6810,2,3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
10,ザクIIF型,0,275,21,43,42,300,18,0,30,0,30,0,10,－,Ｍ,17,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
11,ザクIIJ型,0,275,24,43,42,300,18,0,30,0,30,0,1,－,Ｍ,17,6810,3,-3,-5,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
12,デザートザク,0,275,24,43,42,300,18,0,30,0,30,0,1,－,Ｍ,19,6810,3,-3,-5,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
13,アクア・ジム,0,275,26,42,60,300,18,0,0,0,40,0,1,－,Ｍ,20,6810,0,4,-5,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)／量産機
14,ザクキャノン,0,276,30,37,68,300,18,0,0,0,30,30,1,－,Ｍ,21,7230,3,-3,-5,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
15,ジム,0,275,24,43,60,300,18,0,10,30,30,0,5,－,Ｍ,20,6810,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／機動戦士ガンダム／量産機
16,ゴッグ,0,296,35,44,50,333,18,0,0,35,35,0,5,－,Ｍ,22,8580,2,3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
17,宇宙仕様ジム・コマンド,0,294,28,52,55,320,18,0,0,40,40,0,1,－,Ｍ,22,8040,1,-3,3,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／ポケットの中の戦争／量産機
18,ジム・カスタム,0,345,33,70,58,397,18,50,90,140,140,0,10,－,Ｍ,28,12720,2,-5,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／スターダストメモリー／量産機
19,陸戦型ジム,0,282,25,48,42,312,18,0,0,35,35,0,1,－,Ｍ,18,7350,3,-3,-5,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／第08MS小隊／量産機
20,ジム・スナイパーカスタム,0,296,26,52,65,326,18,50,0,0,0,50,5,－,Ｍ,27,9180,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)／量産機
21,グフ重装型,0,310,33,36,40,340,12,0,0,0,60,0,1,－,Ｍ,29,9210,3,-5,-5,-2,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／グフ系／量産機
22,ジム・キャノン,0,276,24,52,58,300,18,0,0,0,0,60,1,－,Ｍ,21,7290,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)／量産機
23,ブルーディスティニー1号機,0,320,32,78,42,390,18,50,0,50,0,0,45,－,Ｍ,38,13470,3,-3,-5,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／戦慄のブルー
24,高機動型ザク,0,280,21,56,42,312,18,0,40,40,40,0,10,－,Ｍ,28,7350,-4,-4,4,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
25,イフリート,0,313,28,65,56,337,18,0,0,60,60,0,30,－,Ｍ,35,9630,3,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト
26,ザクII改,0,294,27,54,52,320,18,0,60,60,60,0,1,－,Ｍ,22,8430,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／ポケットの中の戦争／量産機
27,サイコミュ試験用ザク,0,288,24,52,64,354,18,150,150,0,0,150,20,NT1,Ｍ,31,9720,0,-4,2,-5,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム
28,パワード・ジム,0,304,29,63,58,347,18,0,50,55,55,0,1,－,Ｍ,24,9780,2,-5,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／スターダストメモリー／量産機
29,ジム・クゥエル,0,345,35,74,52,397,18,0,0,60,60,0,10,－,Ｍ,28,13230,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／スターダストメモリー／量産機
30,ガンタンクII,0,312,26,37,84,408,16,0,30,0,0,90,1,－,Ｍ,34,9240,3,-4,-5,-5,その他／連邦軍・ティターンズ・地球連合／機動戦士Zガンダム／量産機
31,ガンタンク,0,294,24,32,80,354,15,0,0,0,0,80,1,－,Ｍ,31,8010,2,-4,-2,-5,MS系／連邦軍・ティターンズ・地球連合／機動戦士ガンダム
32,グフ飛行試験型,0,292,28,62,48,340,18,0,60,0,80,0,1,－,Ｍ,26,8460,3,-3,-5,1,MS系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／グフ系
33,高機動型ザク後期型,0,348,28,70,52,340,18,0,65,65,65,0,10,－,Ｍ,34,7350,-4,-4,4,-5,MS系／ザク系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／量産機
