,派生表通番,NO,目的派生検索,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,1,0,ボール,ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,ボールK型,ボール,ボールK型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"1,476",ボール改,ボール,ボールK型,ボール改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"7,426",トロハチ,ボール,ボールK型,ボール改,トロハチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"5,027",サンダーボルト仕様ボール,ボール,ボールK型,サンダーボルト仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"4,081",機雷散布ポッド装備仕様ボール,ボール,ボールK型,機雷散布ポッド装備仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"2,766",マ・クベ専用ボール,ボール,ボールK型,マ・クベ専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"3,811",連邦宇宙輸送艇,ボール,ボールK型,連邦宇宙輸送艇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,467,スーツキャリアー,ボール,ボールK型,連邦宇宙輸送艇,スーツキャリアー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,738,コロンブス,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"3,219",ヨーツンヘイム,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,ヨーツンヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"1,017",フリーデン,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,"1,018",フリーデンII,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,フリーデンII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,"3,692",シーバルチャー艦,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,"3,704",ドリテア護衛艦,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,"3,705",ドリテア,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,ドリテア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,"3,721",ポリペイモス,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,ポリペイモス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,"3,683",トリエステ,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,トリエステ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,"3,716",フォート・セバーン,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,フォート・セバーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,"1,016",アオヤギ,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,"1,013",アマネセル,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アマネセル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,"3,661",アストラーザ,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アストラーザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,"3,668",ガーベラ,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,アストラーザ,ガーベラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,"3,708",バルトーク,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,アオヤギ,バルトーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,"3,701",超大型輸送機,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,超大型輸送機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,"3,673",グリーツ艦,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,グリーツ艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,"3,535",コロンブス改,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,コロンブス改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,"7,107",シャークマウス仕様ボール,ボール,ボールK型,シャークマウス仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,"2,767",ドズル・ザビ専用ボール,ボール,ボールK型,ドズル・ザビ専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,"7,175",ロウ専用キメラ,ボール,ボールK型,ロウ専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,"2,768",ランバ・ラル専用ボール,ボール,ボールK型,ランバ・ラル専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,"7,177",リーアム専用キメラ,ボール,ボールK型,リーアム専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,"2,051",フィッシュアイ,ボール,ボールK型,フィッシュアイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,"7,178",樹里専用キメラ,ボール,ボールK型,樹里専用キメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,"7,056",ボール・ボーイ,ボール,ボールK型,ボール・ボーイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,"8,571",ソロモン攻略戦仕様ボール,ボール,ボールK型,ソロモン攻略戦仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,"2,768",ランバ・ラル専用ボール,ボール,ランバ・ラル専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,"6,133",ポリポッドボール,ボール,ポリポッドボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,"3,141",133式ボール,ボール,133式ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,234,61式戦車,ボール,61式戦車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,"1,553",キャリアビーグル,ボール,61式戦車,キャリアビーグル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,697,リニアガン・タンク,ボール,61式戦車,リニアガン・タンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,"3,748",ボナパルト,ボール,61式戦車,ボナパルト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,"2,247",ヴィーザフ,ボール,61式戦車,ヴィーザフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,239,ビックトレー,ボール,61式戦車,ビックトレー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,380,ライノサラスA型,ボール,61式戦車,ビックトレー,ライノサラスA型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,"2,362",ライノサラスB型,ボール,61式戦車,ビックトレー,ライノサラスA型,ライノサラスB型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,"3,407",ヘヴィ・フォーク,ボール,61式戦車,ビックトレー,ヘヴィ・フォーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,"4,379",サルバーS-VI型,ボール,61式戦車,サルバーS-VI型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,521,MSトレーラー,ボール,61式戦車,MSトレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,638,ガンダム積載MSトレーラー,ボール,61式戦車,MSトレーラー,ガンダム積載MSトレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,694,サムソントレーラー,ボール,61式戦車,MSトレーラー,サムソントレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,"3,682",ザク・タンカー,ボール,61式戦車,MSトレーラー,サムソントレーラー,ザク・タンカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,"3,669",カミオン,ボール,61式戦車,MSトレーラー,カミオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,"5,222",FAG轟雷,ボール,61式戦車,FAG轟雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,"6,879",三二式一型・轟雷,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,"8,045",三八式一型・榴雷改,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三八式一型・榴雷改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,"8,043",三二式伍型・漸雷,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三二式伍型・漸雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,"8,044",三二式伍型丙・漸雷強襲装備型,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,三二式伍型・漸雷,三二式伍型丙・漸雷強襲装備型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,"6,921",輝鎚・甲,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,"8,028",白兵戦仕様輝鎚・乙,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,白兵戦仕様輝鎚・乙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,"8,029",狙撃仕様輝鎚・乙,ボール,61式戦車,FAG轟雷,三二式一型・轟雷,輝鎚・甲,狙撃仕様輝鎚・乙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,"5,223",FAGスティレット,ボール,61式戦車,FAG轟雷,FAGスティレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,"5,224",FAG迅雷,ボール,61式戦車,FAG轟雷,FAGスティレット,FAG迅雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
