No,機体名,HP,装甲,運動,索敵,EN,重量,直感,操縦,近,中,遠,NT,コスト,名声,POINT,地上,水中,宇宙,空中,種類1,種類1',種類2,種類2',種類3,種類3',種類4,種類4',種類5,種類5',種類6,種類6',|,特殊能力1,特殊能力2,特殊能力3,特殊能力4,特殊能力5,特殊能力6,特殊能力7,特殊能力8,特殊能力9,①派生元,①隠し武装,①属性,①威力,①弾数,①EN,"①射程
from","①射程
to",①HIT,①特殊効果,②派生元,②隠し武装,②属性,②威力,②弾数,②EN,"②射程
from","②射程
to",②HIT,②特殊効果,③派生元,③隠し武装,③属性,③威力,③弾数,③EN,"③射程
from","③射程
to",③HIT,③特殊効果,④派生元,④隠し武装,④属性,④威力,④弾数,④EN,"④射程
from","④射程
to",④HIT,④特殊効果,,,,,,,,,,
0,ボール,120,17,35,40,117,8,0,0,10,0,0,0,14,1,2910,-5,-5,3,-5,4,その他,8,連邦軍・ティターンズ・地球連合,A,機動戦士ガンダム,F,量産機,,,,,|,Sサイズ,OT機,,,,,,,,アームパンチ,★繋留用ワイヤー,実弾,20,99,1,0,90,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ボールK型,120,17,35,40,117,8,0,0,10,0,0,0,14,1,2910,-5,-5,3,-5,4,その他,8,連邦軍・ティターンズ・地球連合,C,第08MS小隊,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ザクI,262,19,39,40,280,18,0,0,10,0,0,0,25,1,3540,2,-3,2,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,|,,,,,,,,,,ショルダータックル,★スーパータックル,実弾,120,99,10,0,25,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ザクタンク,230,15,30,62,212,16,0,0,0,0,10,0,21,1,2760,2,-3,-5,-5,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,アッグ,256,21,60,42,283,15,0,20,30,0,0,0,27,1,6630,2,0,-5,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,アッグガイ,307,26,52,48,333,19,10,20,30,0,0,0,30,1,9690,2,-2,-5,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ジュアッグ,312,30,50,52,175,17,10,10,10,25,0,0,25,1,6010,2,2,-5,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ザク・マリンタイプ,308,21,56,42,252,18,0,20,0,30,0,0,24,1,6630,0,4,-5,-2,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,,,,,|,海洋だと攻撃力増,OT時にランダムで攻撃力UP,OT機,,,,,,,サブロック・ガン,★サブロック・ガン,海洋強化,95,30,5,20,55,,海で攻撃力若干増,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,グフ,290,30,52,42,312,18,10,30,30,0,0,0,20,1,8610,3,-3,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,a,グフ系,F,量産機,,,|,OT時にランダムで攻撃力UP,砂漠適正,OT機,,,,,,,ヒートサーベル,★ヒートサーベル,ヒート,110,99,10,0,25,2,―,ハンドミサイル,★フィンガーバルカン,実弾,70,50,1,0,29,,牽制,ヒート・ロッド ,★ヒート・ロッド,ヒート,105,99,20,0,29,,麻痺,ミノフスキー・クラフト,★ド・ダイ,,,,,,,,空中適正増加、空中以外適正低下、移動力+10、攻撃援護,,,,,,,,,,
9,アッガイ,275,22,52,42,300,19,10,30,30,15,0,0,25,1,6810,2,3,-5,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
