豪胆	 地上適性プラス、宇宙適性マイナス
豪快	 水中適性プラス、空中適性マイナス
冷酷	 宇宙適性プラス、地上適性マイナス
清涼	 空中適性プラス、水中適性マイナス
短気	 近距離命中向上、中距離回避低下
熱血	 近距離回避向上、中距離命中低下
半端	 中距離命中向上、遠距離回避低下
凡庸	 中距離回避向上、遠距離命中低下
沈着	 遠距離命中向上、近距離回避低下
策士	 遠距離回避向上、近距離命中低下
迅速	 格闘の発動率増加
機転	 集中射撃の発動率増加
冷静	 精密射撃の発動率増加
傲慢	 挑発の発動率増加
一途	 集中の発動率増加
暴走	 レベルが高いほど自爆の発動距離を伸ばせる
不屈	 Lv5以上で、遠距離以外でも自己再生回復が発動
執念	 反撃の発動率増加
配慮	 トーナメント団体戦サポート時のEN回復量・弾回復量増加
倹約	 トーナメント団体戦サポート時のEN消費減少、補給スキルの回復量増加
強欲	 優勝戦勝利時にバイオセンサーの戦果が増加、トーナメント優勝時の名声減少、損傷率上昇
流行	 Iフィールドのエネルギー消費減少
脱力	 拡散ビームのエネルギー消費減少、敵の脱出系機能を停止させる
頑丈	 シールドの防御率、A.B.C.マントの発動率増加
感応	 優勝戦・個人戦での名声向上、損傷率上昇
器用	 個人の優勝戦開始時に敵HPを減少させる、獲得ポイント減少(一定条件でボーナスあり)敵のHPを減らすと、熟練度100までは獲得ポイントが少し減少し、500に向け徐々に減少量が増え、最終的に本来の減少値になります。
集中	 攻撃重視で能力向上
気弱	 回避重視で能力向上
悪戯	 撹乱重視で能力向上
実直	 操縦重視で能力向上
節約	 機体損傷率増加、Lvが高いほど優勝戦で損傷率低下
陶酔	 訓練と強化の成功率増加
偏屈	 安全にカスタマイズできる確率が上がる
悪運	 訓練＆強化の成功率低下、誤射率増加、カスタマイズ成功確率低下
冷血	 EN吸い取り能力向上、HP吸い取り能力低下
鈍感	 団体トーナメントで誤射率大幅増加
偵察	 索敵距離向上
覚醒	 機体損傷率増加、魅了効果増加
再生	 HPの回復量増加、DG細胞の暴走率低下
闘志	 なし
威圧	 個別優勝戦で敵の戦術を無効化する
鍛錬	 熟練度が一定以上で、模擬戦においてレベルに応じてバイオセンサーが強化、名声獲得確率も上昇
一徹	 近距離命中向上、遠距離回避低下
威風	 近距離回避向上、遠距離命中低下
堅実	 中距離命中向上、近距離回避低下
明朗	 中距離回避向上、近距離命中低下
繊細	 遠距離命中向上、中距離回避低下
高尚	 遠距離回避向上、中距離命中低下
高尚	 遠距離回避向上、中距離命中低下
