記号,検索ワード,10進法,16進法
🩷,ピンクのハート heart 恋 愛 好き,&#129655;,&#x1FA77;
❤️,赤色のハート heart 恋 愛 好き,&#10084;&#65039;,&#x2764;&#xFE0F;
🧡,オレンジ色のハート heart 恋 愛 好き,&#129505;,&#x1F9E1;
💛,黄色のハート heart 恋 愛 好き,&#128155;,&#x1F49B;
💚,緑のハート heart 恋 愛 好き,&#128154;,&#x1F49A;
🩵,ライトブルーのハート heart 恋 愛 好き,&#129653;,&#x1FA75;
💙,青のハート heart 恋 愛 好き,&#128153;,&#x1F499;
💜,紫のハート heart 恋 愛 好き,&#128156;,&#x1F49C;
🖤,黒いハート heart 恋 愛 好き,&#128420;,&#x1F5A4;
🩶,グレーのハート heart 恋 愛 好き,&#129654;,&#x1FA76;
🤍,白のハート heart 恋 愛 好き,&#129293;,&#x1F90D;
🤎,茶色のハート heart 恋 愛 好き,&#129294;,&#x1F90E;
💔,割れたハート heart 恋 愛 好き,&#128148;,&#x1F494;
❤️‍🔥,燃えているハート heart 恋 愛 好き,&#10084;&#65039;&#8205;&#128293;,&#x2764;&#xFE0F;&#x200D;&#x1F525;
❤️‍🩹,手当しているハート heart 恋 愛 好き,&#10084;&#65039;&#8205;&#128293;,&#x2764;&#xFE0F;&#x200D;&#129657;
❣️,ハートのビックリマーク heart 恋 愛 好き,&#10083;&#65039;,&#x2763;&#xFE0F;
💕,2つのハート heart 恋 愛 好き,&#129294;,&#x1F495;
💞,回転するハート heart 恋 愛 好き,&#128158;,&#x1F49E;
💓,鼓動するハート heart 恋 愛 好き,&#128147;,&#x1F493;
💗,光るハート heart 恋 愛 好き,&#128151;,&#x1F497;
💖,きらめくハート heart 恋 愛 好き,&#128150;,&#x1F496;
💘,射抜かれたハート heart 恋 愛 好き,&#128152;,&#x1F498;
💝,リボン付きのハート heart 恋 愛 好き,&#128157;,&#x1F49D;
💟,ハートのデコレーション heart 恋 愛 好き,&#128159;,&#x1F49F;
☮️,ピースマーク,&#9774;&#65039;,&#x262E;&#xFE0F;
✝️,ラテン十字,&#10013;&#65039;,&#x271D;&#xFE0F;
☪️,星と三日月 star ほし,&#9770;&#65039;,&#x262A;&#xFE0F;
🕉️,オームマーク,&#128329;&#65039;,&#x1F549;&#xFE0F;
☸️,法輪,&#9784;&#65039;,&#x2638;&#xFE0F;
🪯,カンダ,&#129711;,&#x1FAAF;
✡️,ダビデの星 star ほし,&#10017;&#65039;,&#x2721;&#xFE0F;
🔯,六芒星 star ほし,&#128303;,&#x1F52F;
🕎,ハヌッキーヤー,&#128334;,&#x1F54E;
☯️,陰陽,&#9775;&#65039;,&#x262F;&#xFE0F;
☦️,八端十字架,&#9766;&#65039;,&#x2626;&#xFE0F;
🛐,礼拝所,&#128720;,&#x1F6D0;
⛎,へびつかい座 蛇遣座 オフィウカス Ophiuchus,&#9934;,&#x26CE;
♈,おひつじ座 牡羊座 アリエス Aries,&#9800;,&#x2648;
♉,おうし座 牡牛座 アルデバラン タウラス Taurus,&#9801;,&#x2649;
♊,ふたご座 双子座 ジェミニ Gemini,&#9802;,&#x264A;
♋,ガン,&#9803;,&#x264B;
♌,しし座 獅子座 レオ Leo,&#9804;,&#x264C;
♍,おとめ座 乙女座 バルゴ Virgo,&#9805;,&#x264D;
♎,てんびん座 天秤座 リブラ Libra,&#9806;,&#x264E;
♏,さそり座 蠍座 スコーピオン Scorpio,&#9807;,&#x264F;
♐,いて座 射手座 サジタリウス Sagittarius,&#9808;,&#x2650;
♑,やぎ座 山羊座 カプリコーン Capricorn,&#9809;,&#x2651;
♒,みずがめ座 水瓶座 アクエリアス Aquarius,&#9810;,&#x2652;
♓,うお座 魚座 ピスケス Pisces,&#9811;,&#x2653;
🆔,四角囲みID,&#127380;,&#x1F194;
⚛️,元素記号,&#9883;&#65039;,&#x269B;&#xFE0F;
🉑,丸囲み許可,&#127569;,&#x1F251;
☢️,放射能標識,&#9762;&#65039;,&#x2622;&#xFE0F;
☣️,バイオハザード標識,&#9763;&#65039;,&#x2623;&#xFE0F;
📴,携帯電話電源オフ,&#128244;,&#x1F4F4;
📳,マナーモード,&#128243;,&#x1F4F3;
🈶,四角囲み有,&#127542;,&#x1F236;
🈚,四角囲み無,&#127514;,&#x1F21A;
🈸,四角囲み申,&#127544;,&#x1F238;
🈺,四角囲み営,&#127546;,&#x1F23A;
🈷️,四角囲み月,&#128243;&#65039;,&#x1F237;&#xFE0F;
✴️,八稜星 star ほし,&#10036;&#65039;,&#x2734;&#xFE0F;
🆚,四角囲みVS,&#127386;,&#x1F19A;
💮,白い花,&#128174;,&#x1F4AE;
🉐,丸囲み得,&#127568;,&#x1F250;
㊙️,丸囲み秘,&#12953;&#65039;,&#x3299;&#xFE0F;
㊗️,丸囲み祝,&#12951;&#65039;,&#x3297;&#xFE0F;
🈴,四角囲みの合,&#127540;,&#x1F234;
🈵,四角囲み満,&#127541;,&#x1F235;
🈹,四角囲み割,&#127545;,&#x1F239;
🈲,四角囲み禁,&#127538;,&#x1F232;
🅰️,黒四角囲みA,&#127344;&#65039;,&#x1F170;&#xFE0F;
🅱️,黒四角囲みB,&#127345;&#65039;,&#x1F171;&#xFE0F;
🆎,黒四角囲みAB,&#127374;,&#x1F18E;
🆑,四角囲みCL,&#127377;,&#x1F191;
🅾️,黒四角囲みO,&#127344;&#65039;,&#x1F17E;&#xFE0F;
🆘,四角囲みSOS,&#127384;,&#x1F198;
❌,バツ印,&#10060;,&#x274C;
⭕,太い大きな丸,&#11093;,&#x2B55;
♏,さそり座 蠍座 スコーピオン Scorpio,&#9807;,&#x264F;
♐,いて座 射手座 サジタリウス Sagittarius,&#9808;,&#x2650;
♑,やぎ座 山羊座 カプリコーン Capricorn,&#9809;,&#x2651;
♒,みずがめ座 水瓶座 アクエリアス Aquarius,&#9810;,&#x2652;
♓,うお座 魚座 ピスケス Pisces,&#9811;,&#x2653;
🆔,四角囲みID,&#127380;,&#x1F194;
⚛️,元素記号,&#9883;&#65039;,&#x269B;&#xFE0F;
🉑,丸囲み許可,&#127569;,&#x1F251;
☢️,放射能標識,&#9762;&#65039;,&#x2622;&#xFE0F;
☣️,バイオハザード標識,&#9763;&#65039;,&#x2623;&#xFE0F;
📴,携帯電話電源オフ,&#128244;,&#x1F4F4;
📳,マナーモード,&#128243;,&#x1F4F3;
🈶,四角囲み有,&#127542;,&#x1F236;
🈚,四角囲み無,&#127514;,&#x1F21A;
🈸,四角囲み申,&#127544;,&#x1F238;
🈺,四角囲み営,&#127546;,&#x1F23A;
🈷️,四角囲み月,&#128243;&#65039;,&#x1F237;&#xFE0F;
✴️,八稜星 star ほし,&#10036;&#65039;,&#x2734;&#xFE0F;
🆚,四角囲みVS,&#127386;,&#x1F19A;
💮,白い花,&#128174;,&#x1F4AE;
🉐,丸囲み得,&#127568;,&#x1F250;
㊙️,丸囲み秘,&#12953;&#65039;,&#x3299;&#xFE0F;
㊗️,丸囲み祝,&#12951;&#65039;,&#x3297;&#xFE0F;
🈴,四角囲みの合,&#127540;,&#x1F234;
🈵,四角囲み満,&#127541;,&#x1F235;
🈹,四角囲み割,&#127545;,&#x1F239;
🈲,四角囲み禁,&#127538;,&#x1F232;
🅰️,黒四角囲みA,&#127344;&#65039;,&#x1F170;&#xFE0F;
🅱️,黒四角囲みB,&#127345;&#65039;,&#x1F171;&#xFE0F;
🆎,黒四角囲みAB,&#127374;,&#x1F18E;
🆑,四角囲みCL,&#127377;,&#x1F191;
🅾️,黒四角囲みO,&#127344;&#65039;,&#x1F17E;&#xFE0F;
🆘,四角囲みSOS,&#127384;,&#x1F198;
❌,バツ印,&#10060;,&#x274C;
⭕,太い大きな丸,&#11093;,&#x2B55;
🛑,一時停止標識,&#128721;,&#x1F6D1;
⛔,立入禁止,&#9940;,&#x26D4;
📛,名札,&#128219;,&#x1F4DB;
🚫,進入禁止,&#128683;,&#x1F6AB;
💯,100点,&#128175;,&#x1F4AF;
💢,怒りマーク,&#128162;,&#x1F4A2;
♨️,温泉,&#9832;&#65039;,&#x2668;&#xFE0F;
🚷,歩行者立入禁止,&#128695;,&#x1F6B7;
🚯,ポイ捨て禁止,&#128687;,&#x1F6AF;
🚳,自転車禁止,&#128691;,&#x1F6B3;
🚱,飲用不可,&#128689;,&#x1F6B1;
🔞,18歳未満禁止,&#128286;,&#x1F51E;
📵,携帯電話禁止,&#128245;,&#x1F4F5;
🚭,禁煙,&#128685;,&#x1F6AD;
❗,赤いビックリマーク,&#10071;,&#x2757;
❕,白いビックリマーク,&#128689;,&#x2755;
❓,赤いはてなマーク,&#10067;,&#x2753;
❔,白いはてなマーク,&#10068;,&#x2754;
‼️,!!マーク,&#8252;&#65039;,&#x203C;&#xFE0F;
⁉️,!?,&#8265;&#65039;,&#x2049;&#xFE0F;
🔅,低輝度,&#128261;,&#x1F505;
🔆,高輝度,&#128262;,&#x1F506;
〽️,庵点,&#12349;&#65039;,&#x303D;&#xFE0F;
⚠️,警告,&#9888;&#65039;,&#x26A0;&#xFE0F;
🚸,交差点を渡る子供たち,&#8265;,&#x1F6B8;
🔱,トライデント,&#128305;,&#x1F531;
⚜️,ユリの紋章,&#9884;&#65039;,&#x269C;&#xFE0F;
🔰,初心者マーク,&#128304;,&#x1F530;
♻️,リサイクルマーク,&#9851;&#65039;,&#x267B;&#xFE0F;
✅,白い太字のチェックマーク check 完了 OK,&#9989;,&#x2705;
🈯,四角囲み指,&#127535;,&#x1F22F;
💹,上昇トレンドのチャートと円記号,&#128185;,&#x1F4B9;
❇️,キラキラ,&#10055;&#65039;,&#x2747;&#xFE0F;
✳️,アスタリスク（8本構成）,&#10035;&#65039;,&#x2733;&#xFE0F;
❎,四角で囲まれたバツ印,&#10062;,&#x274E;
🌐,子午線・経線のある地球,&#127760;,&#x1F310;
💠,ドット模様のダイヤ,&#128160;,&#x1F4A0;
Ⓜ️,地下鉄（Metro）,&#9410;&#65039;,&#x24C2;&#xFE0F;
🌀,サイクロン,&#127744;,&#x1F300;
💤,睡眠,&#128164;,&#x1F4A4;
🏧,ATM,&#127975;,&#x1F3E7;
🚾,トイレ,&#128702;,&#x1F6BE;
♿,車いす,&#9855;,&#x267F;
🅿️,黒四角囲みP,&#127359;&#65039;,&#x1F17F;&#xFE0F;
🛗,エレベーター,&#128727;,&#x1F6D7;
🈳,四角囲み空,&#127539;,&#x1F233;
🈂️,四角囲みサ,&#127490;&#65039;,&#x1F202;&#xFE0F;
🛂,入国審査,&#128706;,&#x1F6C2;
🛃,税関,&#128707;,&#x1F6C3;
🛄,手荷物受取所,&#128708;,&#x1F6C4;
🛅,手荷物預かり所,&#128709;,&#x1F6C5;
🛜,無線,&#128732;,&#x1F6DC;
🚹,男性の記号,&#128697;,&#x1F6B9;
🚺,女性の記号,&#128698;,&#x1F6BA;
🚼,赤ちゃんマーク,&#128700;,&#x1F6BC;
⚧️,トランスジェンダーサイン,&#9895;&#65039;,&#x26A7;&#xFE0F;
🚻,トイレ,&#128699;,&#x1F6BB;
🚮,ゴミ捨て場,&#128686;,&#x1F6AE;
🎦,映画,&#127910;,&#x1F3A6;
